Stockname,Date,Open,High,Low,Close,Adj Close,Volume,Returns
DAX,30/10/2018,11391.78027,11394.37012,11212.58008,11287.38965,11287.38965,99304800,1.04390625
DAX,31/10/2018,11417.08984,11499.37988,11391.63965,11447.50977,11447.50977,127284000,-0.304199219
DAX,01/11/2018,11419.61035,11575.42969,11416.36035,11468.54004,11468.54004,98851100,-0.489296875
DAX,02/11/2018,11636.37012,11689.95996,11518.87012,11518.99023,11518.99023,109924000,1.173798828
DAX,05/11/2018,11522.33008,11555.96973,11479.19043,11494.95996,11494.95996,69373800,0.273701172
DAX,06/11/2018,11518.16992,11528.51953,11436.53027,11484.33984,11484.33984,0,0.338300781
DAX,07/11/2018,11542.08984,11634.80957,11532.33984,11579.09961,11579.09961,85986800,-0.370097656
DAX,08/11/2018,11629,11648.79004,11503.36035,11527.32031,11527.32031,80629900,1.016796875
DAX,09/11/2018,11489.19043,11549.05957,11418.34961,11529.16016,11529.16016,103701100,-0.399697266
DAX,12/11/2018,11591.58984,11598.50977,11310.71973,11325.44043,11325.44043,93211100,2.661494141
DAX,13/11/2018,11374.11035,11495.69043,11349.94043,11472.21973,11472.21973,100043500,-0.98109375
DAX,14/11/2018,11394.75,11566.79004,11314.59961,11412.53027,11412.53027,106400600,-0.177802734
DAX,15/11/2018,11447.83984,11500.66016,11254.91992,11353.66992,11353.66992,96865000,0.941699219
DAX,16/11/2018,11425.7998,11448.55957,11233.20996,11341,11341,113018300,0.847998047
DAX,19/11/2018,11384,11419.5498,11231.58984,11244.54004,11244.54004,78718200,1.394599609
DAX,20/11/2018,11157.65039,11187.16016,11009.25,11066.41016,11066.41016,119967800,0.912402344
DAX,21/11/2018,11138.25,11257.83008,11113.33984,11244.16992,11244.16992,92605400,-1.059199219
DAX,22/11/2018,11216.29004,11221.76953,11119.04004,11138.49023,11138.49023,64564400,0.777998047
DAX,23/11/2018,11146.5498,11205.99023,11093.51953,11192.69043,11192.69043,63011900,-0.46140625
DAX,26/11/2018,11315.90039,11390.92969,11301.82031,11354.71973,11354.71973,89434600,-0.388193359
DAX,27/11/2018,11380.79004,11400.0498,11264.65039,11309.11035,11309.11035,75453200,0.716796875
DAX,28/11/2018,11355.7998,11358.7998,11279.45996,11298.87988,11298.87988,72950500,0.569199219
DAX,29/11/2018,11377.20996,11403.71973,11275.7002,11298.23047,11298.23047,92388200,0.789794922
DAX,30/11/2018,11311.66016,11315.2998,11208.59961,11257.24023,11257.24023,109013100,0.544199219
DAX,03/12/2018,11534.75,11566.96973,11457.61035,11465.45996,11465.45996,101248500,0.692900391
DAX,04/12/2018,11429.82031,11442.19043,11330.44043,11335.32031,11335.32031,83807700,0.945
DAX,05/12/2018,11204.32031,11266.28027,11177.15039,11200.24023,11200.24023,73386400,0.040800781
DAX,06/12/2018,11053.58008,11063.44043,10762.41016,10810.98047,10810.98047,132009900,2.425996094
DAX,07/12/2018,10876.33984,10927.37012,10788.08984,10788.08984,10788.08984,100383400,0.8825
DAX,10/12/2018,10726.16992,10757.73047,10585.76953,10622.07031,10622.07031,119543200,1.040996094
DAX,11/12/2018,10711.40039,10884.62012,10684.62012,10780.50977,10780.50977,101814600,-0.69109375
DAX,12/12/2018,10832.04004,10971.12012,10815.50977,10929.42969,10929.42969,103230400,-0.973896484
DAX,13/12/2018,10978.67969,10988.76953,10887.25977,10924.7002,10924.7002,87998300,0.539794922
DAX,14/12/2018,10809.58008,10903.38965,10733.75,10865.76953,10865.76953,81422700,-0.561894531
DAX,17/12/2018,10852.99023,10886.7998,10700.62012,10772.2002,10772.2002,85598700,0.807900391
DAX,18/12/2018,10744.28027,10841.41992,10714.96973,10740.88965,10740.88965,96287600,0.03390625
DAX,19/12/2018,10777.41992,10831.44043,10749.5498,10766.20996,10766.20996,96506200,0.112099609
DAX,20/12/2018,10621.17969,10686.37012,10563.44043,10611.09961,10611.09961,122450600,0.100800781
DAX,21/12/2018,10573.08008,10654.66016,10512.63965,10633.82031,10633.82031,216162200,-0.607402344
DAX,27/12/2018,10607.41992,10635.4502,10279.2002,10381.50977,10381.50977,104152600,2.259101563
DAX,28/12/2018,10452.01953,10586.7998,10431.37988,10558.95996,10558.95996,52604300,-1.069404297
DAX,02/01/2019,10477.76953,10612.71973,10386.96973,10580.19043,10580.19043,79626700,-1.024208984
DAX,03/01/2019,10467.11035,10538.66016,10400.11035,10416.66016,10416.66016,84733800,0.504501953
DAX,04/01/2019,10533.94043,10786.33984,10483.90039,10767.69043,10767.69043,95339500,-2.3375
DAX,07/01/2019,10814.38965,10814.46973,10681.26953,10747.80957,10747.80957,71151400,0.665800781
DAX,08/01/2019,10750.19043,10910.70996,10745.03027,10803.98047,10803.98047,93672200,-0.537900391
DAX,09/01/2019,10884.75,10961.91992,10839.08984,10893.32031,10893.32031,96071900,-0.085703125
DAX,10/01/2019,10843.88965,10927.12988,10788.0498,10921.58984,10921.58984,77255600,-0.777001953
DAX,11/01/2019,10949.12988,10959,10829.91992,10887.45996,10887.45996,75537200,0.616699219
DAX,14/01/2019,10820.84961,10886.23047,10786.75,10855.91016,10855.91016,65945800,-0.350605469
DAX,15/01/2019,10962.9502,10994.83008,10812.58984,10891.79004,10891.79004,80197500,0.711601563
DAX,16/01/2019,10940.36035,10947.87012,10866.38965,10931.24023,10931.24023,79810600,0.091201172
DAX,17/01/2019,10852.5,10929.2998,10822.25,10918.62012,10918.62012,79327000,-0.661201172
DAX,18/01/2019,11001.30957,11216.82031,10993.83008,11205.54004,11205.54004,119133600,-2.042304688
DAX,21/01/2019,11176.12012,11179.91016,11125.53027,11136.2002,11136.2002,65955200,0.399199219
DAX,22/01/2019,11076.98047,11142.21973,11034.5498,11090.11035,11090.11035,73446100,-0.131298828
